68;Elias;m
2;Elija;m
1;Elijah;m
1;Elino;m
3;Elio;m
1;Elis;m
1;Elisa;m
1;Elisio;m
1;Eliya;m
2;Elliot;m
1;Elmar;m
1;Eloghosa;m
1;Elouan;m
1;Elyan;m
9;Elyas;m
1;Emad;m
5;Emanuel;m
1;Emeka;m
1;Émery;m
57;Emil;m
11;Emilian;m
10;Emilio;m
1;Emilius;m
5;Emin;m
9;Emir;m
1;Emirhan;m
2;Emmanuel;m
1;Emre;m
1;En;m
1;Enar;m
1;Enca;m
1;Ener;m
4;Enes;m
2;Engin;m
1;Enke;m
1;Ennio;m
3;Enno;m
1;Enoch;m
1;Enrico;m
1;Enriko;m
3;Enzo;m
1;Enzy;m
1;Ephraim;m
1;Eray;m
1;Erdem;m
1;Erdoğan;m
7;Eren;m
1;Eri;m
1;Erian;m
2;Eric;m
5;Erich;m
1;Erick;m
28;Erik;m
1;Ernest;m
3;Ernst;m
1;Erol;m
1;Eromonsele;m
2;Eron;m
1;Ersin;m
2;Ertuğrul;m
1;Ervin;m
2;Erwin;m
1;Esosa;m
1;Eşref;m
1;Ethan;m
1;Etiendem;m
1;Etienne-Lorenz;m
2;Eugen;m
1;Evangelos;m
1;Evren;m
1;Ewald;m
6;Eymen;m
1;Eytan;m
1;Eyup;m
1;Eyyüb;m
1;Eyyup;m
3;Ezra;m
8;Fabian;m
3;Fabio;m
1;Fabrizio;m
1;Faidon;m
1;Faiz;m
1;Fares;m
3;Faris;m
1;Farman;m
1;Farmast;m
1;Fateme;m
1;Fathi;m
1;Faysal;m
1;Federico;m
1;Fedi;m
1;Fehmi;m
1;Felias;m
1;Felino;m
5;Felipe;m
57;Felix;m
1;Felix-Maximilian;m
1;Fenno;m
1;Feramuz;m
30;Ferdinand;m
1;Feriz;m
4;Fernando;m
1;Fero;m
1;Ferris;m
1;Fida;m
7;Fiete;m
1;Figence;m
2;Filip;m
1;Filipe;m
1;Filipp;m
1;Filippo;m
1;Filippos;m
1;Finjas;m
29;Finn;m
1;Finn-Laurin;m
1;Finn-Louis;m
1;Fiodor;m
1;Fionas;m
1;Firas;m
1;Fitz;m
1;Flin;m
2;Flinn;m
1;Florenc;m
4;Florentin;m
12;Florian;m
1;Florin;m
2;Floris;m
3;Fotios;m
5;Francesco;m
1;Francisc;m
2;Francisco;m
1;Franco;m
1;Frank;m
6;Franz;m
2;Fred;m
1;Freddie;m
3;Frederic;m
1;Frédéric;m
4;Frederick;m
28;Frederik;m
1;Free;m
1;Frido;m
1;Friederik;m
1;Friedhelm;m
1;Friedolin;m
30;Friedrich;m
15;Fritz;m
3;Fynn;m
24;Gabriel;m
1;Gabrieli;m
1;Gabrijel-Zarko;m
1;Gabryel;m
1;Gael;m
1;Gaetano;m
1;Gautam;m
18;Georg;m
5;George;m
1;Georgi;m
3;Georgiev;m
1;Georgios;m
1;Georgy;m
1;Geraldino;m
1;Gerardus;m
1;Gerd;m
2;Gerhard;m
1;Gero;m
1;Gerrit;m
1;Gevorg;m
1;Gheorghe;m
2;Gianni;m
1;Giannis;m
1;Giante;m
1;Gilbert;m
1;Gioksel;m
1;Giona;m
1;Giovanni;m
1;Gisbert;m
2;Giuliano;m
1;Giulio;m
1;Giulio-Alfredo;m
1;Giuseppe;m
1;Gleb;m
1;Gohar;m
1;Gordon;m
1;Görkem;m
1;Gorreh;m
1;Gregor;m
2;Gregorios;m
1;Gregory;m
1;Grégory;m
1;Guglielmo;m
1;Guiliano;m
1;Güney;m
1;Gunnar;m
3;Günter;m
3;Günther;m
3;Gustav;m
1;Guyin;m
2;Hadi;m
1;Hadis;m
2;Hagen;m
2;Hajo;m
1;Hajun;m
1;Hakim;m
1;Halil;m
1;Halis;m
7;Hamza;m
1;Hamzah;m
1;Hamzić;m
2;Han;m
12;Hannes;m
4;Hanno;m
1;Hanns;m
4;Hans;m
1;Haobo;m
3;Haris;m
2;Haroun;m
1;Harrison;m
1;Haru;m
1;Harun;m
1;Harvey;m
1;Harvie;m
2;Hasan;m
1;Haschem;m
1;Hasim;m
3;Hassan;m
1;Hastyar;m
1;Hatem;m
1;Havyar;m
1;Hayato;m
1;Haydar;m
1;Hayo;m
